"SMI","lambda1 (sTDA, nm)","F1 (sTDA)","lamda1  (TD-DFT, nm)","F1 (TD-DFT)","lambda_max (Exp,  nm)","extinction (Lmol-1cm-1)","solvent"
CCCOC(=O)c1ccc(cc1)C(=O)OCCC,255,0.033820676,NaN,NaN,530,NaN,acetonitrile
C1(C)c2cc3nc([nH]c3cc2c2c1cccc2)c1ccc(cc1)Cl,304.5,1.313486281,NaN,NaN,360,NaN,DMSO
CCN(c1ccc2c(c1)oc(=NC(=O)Nc1ccc(cc1)C(C)C)c(c2)C#N)CC,328.8,1.061658356,NaN,NaN,443,NaN,NaN
COC(=O)c1ccc(cc1)C(C(C(=O)C)Cl)O,276.6,0.000117534,NaN,NaN,NaN,NaN,NaN
COc1cc(C(=O)O)c2c(c1C)OC(=O)c1c(O2)c(C=O)c(cc1C)O,290.1,0.000663379,NaN,NaN,NaN,NaN,NaN
Clc1ccc(cc1)C(=O)Oc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],317.9,0.0011825,NaN,NaN,240,22438.81924,NaN
CCN1CCN(CC1)c1cc2c(cc1F)c(=O)c(cn2C1CC1)C(=O)O,286.9,0.12944951,NaN,NaN,NaN,NaN,NaN
Clc1ccc(cc1)N=Nc1c(N)nn2c1nccc2c1ccccc1,391.9,0.000258673,NaN,NaN,410,NaN,Cyclohexane
CC(Cn1cnc2c1cc1[n+]([O-])onc1c2C(=O)c1ccc(cc1)[N+](=O)[O-])C,404.2,0.359938519,NaN,NaN,390,NaN,NaN
CC[C@@H]([C@H](C(=O)c1ccccc1)[C@H](c1ccc(cc1)Cl)C[N+](=O)[O-])c1ccccc1,297.4,0.002082736,NaN,NaN,NaN,NaN,NaN
Cc1cccnc1,251.3,0.009782597,NaN,NaN,0,NaN,Cl
Cn1c(=S)n(c(c1P(=O)(c1ccccc1)c1ccccc1)P(=O)(c1ccccc1)c1ccccc1)C,270,0.172908723,NaN,NaN,268,NaN,NaN
O=C1Nc2c(C1=NNCc1ccncc1)cccc2,312.3,0.230507302,NaN,NaN,100,NaN,NaN
COc1ccc(cc1)C=Cc1nc(c(n1C)C#N)C#N,307.2,1.41169261,321.3357687,1.193805664,331,NaN,NaN
FC(c1ccc(cc1)c1nnc(o1)c1ccn2c(c1c1ccccc1)nc1c2cccc1)(F)F,345.5,0.366649405,NaN,NaN,342,NaN,NaN
COc1cc2CN3CCc4c(C3Cc2cc1O)cc(c(c4)OC)O,253.2,0.080259636,NaN,NaN,NaN,NaN,NaN
OCCn1c(=O)c2ccc(c3c2c(c1=O)ccc3)Oc1ccc(cc1)Br,324.4,0.382274029,NaN,NaN,NaN,NaN,NaN
Oc1ccc2c(c1)cc1c(c2)c(C)cc(=O)o1,309.1,0.115641357,NaN,NaN,365,7400,NaN
COc1c2ccccc2c(c2c1c1cc(Cl)ccc1n2C)OC,348.2,0.115876108,NaN,NaN,337,NaN,CH 2 Cl
COc1ccc(cc1)c1nc2n(c1)ccc(c2)C=Cc1ccc(cc1)N(C)C,334.8,1.811551782,NaN,NaN,465,30199.5172,TFA
Cc1ccc(cc1)C#Cc1c(C#Cc2ccc(cc2)C)c(C#Cc2ccc(cc2)C)c(c(c1C#Cc1ccc(cc1)C)C#Cc1ccc(cc1)C)F,348.4,0.449588922,NaN,NaN,440,NaN,NaN
N#CC(=Cc1ccc(s1)c1ccc2c(c1)c1ccccc1n2c1ccc(cc1)C=C(c1ccccc1)c1ccccc1)C(=O)O,344,2.073398943,NaN,NaN,420,NaN,NaN
COc1cc2c(cc1O)occ(c2=O)c1ccc(cc1)O,282.4,3.01E-05,NaN,NaN,NaN,NaN,NaN
Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(c(c2O)O)O,289.4,0.141930505,NaN,NaN,NaN,NaN,NaN
COc1ccccc1O,245.7,0.040555406,NaN,NaN,470,NaN,NaN
CCn1c2cc(ccc2c2c1cc(cc2)N(c1ccc(cc1)C)c1ccc(cc1)C)N(c1ccc(cc1)C)c1ccc(cc1)C,331.1,0.940026136,NaN,NaN,384,38500,NaN
C#CC1(SCCS1)c1cccc(c1)COC,243.7,0.00843592,NaN,NaN,334,NaN,NaN
ClCC(=O)Nc1ccc2c3c1ccc1c3c(cc2)ccc1,340.7,0.387325508,NaN,NaN,398,NaN,NaN
COc1ccc(cc1)C1CC(=NN1c1ccc(c(c1)C)C)c1ccc(cc1)F,319.7,0.952837527,NaN,NaN,344,NaN,NaN
CN(c1ccc(cc1)C#Cc1c(F)c(F)c(c(c1F)F)C#Cc1ccc(cc1)N(C)C)C,337.4,2.879286582,NaN,NaN,409,NaN,dichloromethane
O[C@@H](C[N+](=O)[O-])CCc1ccccc1,299.4,7.67E-05,NaN,NaN,NaN,NaN,NaN
C[N+]1=C(C=C2C(=C(C2=O)c2c(O)cc(cc2O)N2c3ccccc3C3C2C3)[O-])C(c2c1cccc2)(C)C,475.4,2.175524136,NaN,NaN,0,241000,NaN
[O-][N+](=O)c1ccc(cc1)c1sc(c2c1OCCO2)c1ccc(cc1)[N+](=O)[O-],330.9,1.262859582,NaN,NaN,374,NaN,DCM
COc1ccc2c(c1)sc(n2)N=Nc1c2ccccc2n(c1c1ccccc1)C,469.4,0.001749142,NaN,NaN,536,NaN,Chloroform
COc1ccc2c(c1)sc(n2)N=Nc1c(C)n(c2c1cccc2)C,424.5,0.005715349,NaN,NaN,519,NaN,Chloroform
N#Cc1ccc(cc1)C=Cc1nc(c([nH]1)c1ccc(cc1)N(C)C)c1ccc(cc1)N(C)C,350,1.809723056,NaN,NaN,434,NaN,CH 2 Cl 2
CC(=O)n1c2ccccc2c2c1cccc2,269.1,0.119285089,NaN,NaN,329,NaN,NaN
CN1C(=O)C(=C(C1=O)c1c[nH]c2c1cccc2)c1ccc(cc1)C=Cc1ccc(cc1)c1ccccc1,396.3,0.134143467,NaN,NaN,453,NaN,NaN
Nc1nc2n(c(c1N=Nc1ccc(cc1)[N+](=O)[O-])N)nc(c2N=Nc1nccs1)N,433.7,5.07E-05,NaN,NaN,496,NaN,NaN
N#CC(=Cc1sc(c2c1OCCO2)c1ccc(cc1)OC)c1cccs1,357.5,1.384688485,NaN,NaN,435,NaN,DCM
NC(=S)NN=Cc1ccc(cc1)OCc1ccccc1,291.8,1.221272572,NaN,NaN,199.16,NaN,NaN
N#Cc1nc2c(nc1C#N)c(c(n2Cc1ccccc1)C)C(=O)C,306.3,0.097851965,NaN,NaN,328,NaN,NaN
Cc1ccsc1c1sc(c2c1cccc2)c1ccc2c(c1)C(CC)(CC)c1c2cccc1,372.5,0.898643701,NaN,NaN,430,NaN,CH 2 Cl
COC(=C1C(=O)c2c(C1=O)cccc2)C=Cc1ccc(cc1)C,330.6,0.721301322,NaN,NaN,401,41841,Cyclohexane
Cn1ccc(c1)c1cccc(c1)C(F)(F)F,251.1,0.025454842,NaN,NaN,277,13640,NaN
OC(=O)C=Cc1ccc(cc1)[N+](=O)[O-],318.7,1.13E-07,NaN,NaN,370,NaN,NaN
CN(c1ccc(cc1)C=C1CCC(=Cc2ccc(cc2)N(C)C)C1=C(C#N)C#N)C,376.9,1.659934776,NaN,NaN,557,NaN,chloroform
[O-][N+](=O)c1ccc2c(c1)nc1n2c(cc2c1c(C)nn2c1ccccc1)c1ccccc1,315.7,0.000523811,NaN,NaN,337,NaN,NaN
N#CC(=C(c1ccc(cc1)n1c(cc2c1cccc2)c1ccccc1)C#N)c1ccc(cc1)n1c(cc2c1cccc2)c1ccccc1,295.2,0.311959939,NaN,NaN,644,NaN,THF
n1ccc(cc1)C=Cc1ccc2c(c1)Sc1c(N2)ccc(c1)C=Cc1ccncc1,352.4,1.037430193,NaN,NaN,440,NaN,NaN
O=c1cc(nc([nH]1)c1ccccc1)N(c1ccccc1C)C,287.1,0.208191364,NaN,NaN,273,53703.17964,NaN
c1ccc2c(c1)[nH]c1c2ccnc1,287.3,0.072106707,NaN,NaN,310,NaN,Methanol
COc1ccccc1c1ccc(cc1)C=Cc1ccc(cc1)S(=O)(=O)OC,310.2,1.577670288,NaN,NaN,340,NaN,NaN
CC(C(=O)Nc1ccc(cc1)S(=O)(=O)N)N1CCN(CC1)C,253.6,0.258751917,NaN,NaN,272,NaN,NaN
c1ccc(nc1)c1[nH]nc(n1)Cc1n[nH]c(n1)c1ccccn1,248.6,0.479002076,NaN,NaN,244,NaN,NaN
N#CC(=Cc1cn(c2c1cccc2)CC)C#N,290.3,0.933510219,316.9330087,0.709441759,400,NaN,MeOH
c1ccc(cc1)c1ccc2c(c1)c(c1ccc(cc1)n1c3ccccc3c3c1cccc3)c1c(c2c2ccc3c(c2)cccc3)cccc1,376.9,0.364679321,NaN,NaN,406,13250,NaN
c1ccc(nc1)c1ccc(cn1)CCc1ccc(nc1)c1ccccn1,266.1,0.008136056,NaN,NaN,NaN,NaN,NaN
O=CN(C(C(SC(=O)c1ccccc1)CCOP(=O)(O)O)C)Cc1cnc(nc1N)C,275.8,0.002927581,NaN,NaN,628,NaN,CH 2 Cl
c1ccc(cc1)c1c(nc(n1c1ccccc1)c1ccc(cc1)c1ccc(cc1)n1c2ccccc2c2c1cccc2)c1ccccc1,291.4,1.506883948,NaN,NaN,420,NaN,NaN
CCC(n1c(Nc2ccc(cc2)F)nc2c1cc1oc(=O)c(c(c1c2)C)C(=O)N)C,305.2,0.471928025,NaN,NaN,358,NaN,ethanol
Cc1ccn2c(c1)nc(c2Cc1ccccc1)c1ccccc1O,292.1,0.262087232,NaN,NaN,NaN,NaN,NaN
COc1ccc(cc1)c1scc2c1OCCO2,268.8,0.521364896,NaN,NaN,301,NaN,DCM
CC(=O)c1ccc(cc1)N,284.3,0.000173747,NaN,NaN,435,NaN,PhCl
N#CC(=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)c1ccc(s1)C=C(C(=O)O)C#N,366.1,1.087150747,NaN,NaN,471,NaN,NaN
c1ccc(cc1)N(c1ccccc1)c1ccc(cc1)c1ccc(cc1)c1cc(nc(c1)c1ccccn1)c1ccccn1,304.1,1.320093334,NaN,NaN,284,NaN,CH 2 Cl
OC(=O)c1ccccc1,240.3,0.01436062,NaN,NaN,325,NaN,NaN
O=c1oc2c(c(c1)C(C(F)(F)F)(F)F)cc1c3c2C(C)(C)CCN3CCC1(C)C,315.7,0.590546167,NaN,NaN,426,NaN,dichloromethane
CCn1c2ccc(cc2c2c1cccc2)N(c1ccc(cc1)C)c1ccc(cc1)C,319.9,0.076955749,NaN,NaN,375,32600,NaN
N#CC(=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)c1ccc(cc1)C=C(C(=O)O)C#N,343.3,0.425106171,NaN,NaN,438,NaN,NaN
CC(C#Cc1ccc(s1)c1ccc(s1)C#CC(C)(C)C)(C)C,322.6,1.262873943,NaN,NaN,357,NaN,NaN
CCn1c2ccc(cc2c2c1cccc2)c1cccs1,299.9,0.037386755,NaN,NaN,335,NaN,NaN
Nc1nc2nccnc2c(=O)[nH]1,327.5,0.007902271,NaN,NaN,930,NaN,quartz
Cn1nc2c(n1)c(ccc2c1scc(c1)C)c1scc(c1)C,357.9,1.04738808,NaN,NaN,390,NaN,NaN
C=CCOC(=O)C1Cc2c(O1)ccc(c2)Cl,259.3,0.059289295,NaN,NaN,280,NaN,NaN
COC=C(c1ccccc1Oc1ncnc(c1)Oc1ccccc1C#N)C(=O)OC,245.7,0.036964246,NaN,NaN,NaN,NaN,NaN
COc1ccc2c(c1)cc1c(n2)nc(cc1)C,337.4,0.108196863,NaN,NaN,371,NaN,acetone
CCc1c(nccc1c1ccccc1)c1nccc(c1)c1ccccc1,262.6,0.096700405,NaN,NaN,241,NaN,NaN
N#Cc1ccc2c(c1)c1ccccc1n2c1ccc2c(c1)c1ccccc1n2CC,292.6,0.050291863,NaN,NaN,392,NaN,NaN
C#Cc1ccc(s1)c1ccsc1C1(CC=CS1)C#C,268.9,0.607708449,NaN,NaN,254,NaN,NaN
CCOC(=O)c1c(NC(=O)C)sc2c1c1ccccc1C2,271.8,0.034364177,NaN,NaN,332,NaN,acetone
C1Oc2c(O1)cc1c(c2)[nH]c2c1scc2,286.2,0.360810266,NaN,NaN,260,NaN,DMSO
Clc1ccc(cc1)C=CC(=O)c1ccccc1O,301.4,0.461680679,NaN,NaN,263,NaN,NaN
Cc1ccc2c(c1)oc(n2)c1cccc(n1)c1nc2c(o1)cc(cc2)C,284.1,1.304064018,NaN,NaN,365,NaN,NaN
O=C(c1c2ncn(c2cc2c1no[n+]2[O-])C)c1ccc(cc1)[N+](=O)[O-],400.2,0.349360628,NaN,NaN,390,NaN,NaN
C(=NO)c1cccnc1,256.5,0.003181815,NaN,NaN,237,NaN,NaN
Cc1ccc(cc1)N=Cc1ccccn1,302.6,0.389223254,NaN,NaN,329,NaN,NaN
CCN(c1ccc2c(c1)oc(=O)cc2C(OC(=O)[C@@H](NC(=O)OCC1c2ccccc2c2c1cccc2)CC(=O)O)C)CC,300.8,0.536299324,NaN,NaN,380.5,NaN,NaN
CCOC(=O)C1=C(NC(=O)C1=NNc1cc(ccc1O)[N+](=O)[O-])c1ccccc1,353.6,1.145294979,NaN,NaN,546,NaN,THF
COC(=O)[C@@H]([C@@H](C=C(c1ccccc1)O[Si](C(C)(C)C)(c1ccccc1)c1ccccc1)C)c1ccccc1,242.6,0.108733684,NaN,NaN,NaN,NaN,NaN
COc1ccc2c(c1)N=CCC2=O,299.5,0.000153651,NaN,NaN,340,NaN,NaN
N#Cc1cc(ccc1N=Nc1ccc(c(c1O)C)O)[N+](=O)[O-],454.2,0.000163257,NaN,NaN,441,29300,Acetone
CCN(c1ccc2c(c1)oc(=O)c(c2)C=CC(=O)c1c(=O)oc2c(c1O)cccc2)CC,373,1.647601278,404.7670432,1.374527612,503,NaN,DCM
Clc1ccc2c(c1)c(N)cc(n2)Cl,288.5,0.077703401,NaN,NaN,315,NaN,NaN
Cc1ccc2c(n1)c(Br)cc(c2)C#Cc1ccc(cc1)N(c1ccccc1)c1ccccc1,325.7,1.475430253,NaN,NaN,375,33000,NaN
C#Cc1ccc2c(c1)Cc1c2ccc(c1)C#C,291.1,1.047480886,292.9337106,1.079255442,397,43408,NaN
c1ccc(cc1)Cc1c(nc2n1cccc2)c1ccccc1,294.5,0.125561652,NaN,NaN,NaN,NaN,NaN
O=c1[nH]c(=O)c2c([nH]1)nc[nH]2,239.1,0.207226,NaN,NaN,550,NaN,NaN
Cc1sc(c(c1C#N)C#N)c1ccc(s1)c1ccc(s1)c1ccc(s1)c1ccc(s1)c1sc(c(c1C#N)C#N)C,413.7,2.416913594,NaN,NaN,457,NaN,NaN
O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cnc2c1ncnc2O)COP(=O)(O)O,237.2,0.197467019,NaN,NaN,249,NaN,NaN
Cc1ccc(cc1)c1cnc(n1C)c1ccc(cc1)c1nc2c(n1C)cccc2,295.2,1.664203855,NaN,NaN,316,31000,NaN
N#Cc1c(C#N)nc(n1C)c1ccccc1,249.1,0.460601994,NaN,NaN,264,NaN,NaN
CN(c1ccc(cc1)C=C1N=C(N(C1=O)Cc1ccccc1)C)C,333.4,1.294930173,NaN,NaN,417,NaN,NaN
c1ccc2c(c1)nc1c(n2)c2cccnc2c2c1nccc2,350,0.006370475,NaN,NaN,726,NaN,NaN
CCN(c1ccc2c(c1)oc(=O)c(c2O)N=Nc1ccc(cc1)OC)CC,395.6,0.000527338,NaN,NaN,480,NaN,MeOH
Brc1cc(Br)c(c2c1C(=O)c1ccccc1C2=O)N,379.8,0.242957814,NaN,NaN,479,NaN,NaN
Cn1c(nc(c1c1ccccc1)c1ccccc1)c1ccc(cc1)c1nc(c(n1C)c1ccccc1)c1ccccc1,299.4,1.709630251,NaN,NaN,379,NaN,NaN
OC(=O)Cc1ccc(cc1)O,244.7,0.035785992,NaN,NaN,226,NaN,NaN
OC(=O)c1ccc(cc1)[N+](=O)[O-],319.4,1.25E-05,NaN,NaN,325,NaN,NaN
N#CC(=Cc1ccc(cc1)N(c1ccccc1)c1ccccc1)c1ccc(cc1)c1ccc(o1)C=C(C(=O)O)C#N,368.4,1.250959346,NaN,NaN,465,NaN,NaN
C(=O)N1CC2C(C1)N2CC=C(c1cccc(c1)Cl)c1ccccc1,250,0.12656089,NaN,NaN,NaN,NaN,NaN
CSC1=C(SC)SC(=C2SC(=C(S2)C#Cc2ccccn2)C#Cc2ccccn2)S1,406.4,0.298303523,NaN,NaN,566,NaN,NaN
COC(=O)c1ccc(nc1)c1ccc(cn1)c1cccc2c1cccc2,298.4,0.72446779,NaN,NaN,344,NaN,NaN
O=C1c2ccccc2C(=O)c2c1c(N)c(c(c2)C)C,369.7,0.227494527,NaN,NaN,590.5,NaN,NaN
c1ccc2c(c1)c1ccc(cc1C2)C#Cc1ccc(cc1)n1c2ccccc2c2c1cccc2,288.2,0.93718456,289.4595125,1.138742847,404,44200,CH 2 Cl 2
COC(=O)C(Cc1ccc(cc1)Cl)CCC(=O)OC,241.4,0.005495514,NaN,NaN,NaN,NaN,NaN
O=Cc1ccc(cc1)C#CC(c1ccccc1)O,309.5,2.90E-05,NaN,NaN,NaN,NaN,NaN
Fc1ccc(cc1)NC(C1=C(O)C(=O)c2c(C1=O)cccc2)c1ccc(cc1)[N+](=O)[O-],380.4,0.004968352,NaN,NaN,469,3548.133892,NaN
COC(=O)[C@H](Cc1c([nH]c2c1cccc2)c1c(C)cc(cc1C)C)NC(=O)[C@H](NC(=O)C(F)(F)F)CC(C)C,266.6,0.158435662,NaN,NaN,290,NaN,NaN
COc1ccc(cc1)c1nc2n(c1CO)cccc2,291.2,0.100559797,NaN,NaN,323,NaN,NaN
O=C1N(C)CC(=O)N2[C@@H]1CC1=c3ccccc3=NC1[C@H]2c1ccc2c(c1)OCO2,368.8,0.165459546,NaN,NaN,NaN,NaN,NaN
NC(=O)c1ccncc1,266.3,0.008949439,NaN,NaN,329,NaN,NaN
COc1ccc(cc1)C=Cc1ccc2c(c1)ccc1c2C(=C=C(c2ccccc2)c2ccccc2)C(O1)(c1ccccc1)c1ccccc1,328,0.291516523,NaN,NaN,470,NaN,THF
CCOC(=O)C1=C(NC(=O)C1=NNc1ccc(cc1)OC)c1ccccc1,352,1.142941015,NaN,NaN,457,NaN,NaN
COC(=O)c1n2nc(C=Cc3ccc(cc3)C)ccc2c(c1C(=O)OC)C(=O)OC,319.6,0.004794149,NaN,NaN,452,NaN,Hexane
COc1ccc(cc1)n1c(nc2c1c1ccccc1c1c2cccc1)c1ccc(cc1)c1cncc2c1cccc2,305.7,0.822983574,311.6041947,0.884464263,429,32300,NaN
COCCOCCOCCn1c(=O)c2c(c1c1ccncc1)c(=O)n(c2c1ccncc1)CCOCCOCCOC,377.9,0.556280045,NaN,NaN,473,11800,NaN
OC[C@H]1O[C@@H](Oc2ccc3c(c2)occ(c3=O)c2ccc(cc2)O)[C@@H]([C@H]([C@@H]1O)O)O,285.4,1.86E-05,NaN,NaN,NaN,NaN,NaN
OC(=O)C(=Cc1ccc(cc1)N(c1ccc(cc1)C=C(c1ccc(cc1)[N+](=O)[O-])C(=O)O)c1ccccc1)c1ccc(cc1)[N+](=O)[O-],345.7,0.651836455,NaN,NaN,399,43100,NaN
C(=O)N1C2C1CN(C2)CC=C(c1ccc(cc1)F)c1ccc(cc1)F,247.8,0.108313729,NaN,NaN,NaN,NaN,NaN
Nc1ccccn1,255,0.075309516,NaN,NaN,310,NaN,DMSO
BrCCOc1ccc(cc1)N=Nc1ccc(cc1)Cl,431.4,3.72E-05,NaN,NaN,351.1,NaN,NaN
c1ccc(cc1)C=Cc1nnc(o1)c1ccccc1,303.5,1.294897245,308.7102062,1.160896245,NaN,NaN,NaN
COc1ccc(cc1)c1cc(c2ccc(cc2)OC)c2c3c1ccc1c3c(cc2)c(cc1c1ccc(cc1)OC)c1ccc(cc1)OC,363.8,0.91332916,NaN,NaN,393,NaN,dichloromethane
c1ccc(cc1)c1ccc2c(c1)c(c1ccc(cc1)c1ccccc1)c1c(c2c2ccc3c(c2)cccc3)cccc1,377.5,0.363110107,NaN,NaN,397,12240,NaN
O=c1c(Cc2ccccc2)cn2c3c1cccc3sc1c2cccc1,307.6,0.255142792,NaN,NaN,398,NaN,NaN
CO[Si](CCCSC(=O)CSc1ccccc1)(OC)OC,260.4,0.002683498,NaN,NaN,249,101500,chloroform
O=Cc1ccc(cc1)C=CC(=O)c1cc2ccccc2oc1=O,346.7,0.024817086,NaN,NaN,333,NaN,NaN
OC(=O)C1=C2Nc3nc[nH]c3C(=O)NC2(C=CC1=O)O,317.1,0.221731186,NaN,NaN,204,NaN,NaN
OC(=O)COc1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-],445.8,0.00077709,NaN,NaN,367.5,NaN,NaN
CC(c1ccc(cc1)c1nc2CCc3c(c2c2c1c1ccccc1CC2)cccc3)C,289.9,0.395824933,NaN,NaN,359,99900,chloroform
OC(=O)C=Cc1cccc(c1)[N+](=O)[O-],316,1.62E-06,NaN,NaN,310,NaN,NaN
Nc1ccccc1c1nc2n(c1)cccc2,293.4,0.143190162,NaN,NaN,350,11500,NaN
Clc1ccc(cc1)N=Nc1c(N)nn2c1nc(N)c(c2N)N=Nc1ccccc1,388.8,0.00055529,NaN,NaN,467,NaN,NaN
CCn1c2ccccc2c2c1ccc(c2)c1ccc(s1)c1ccc(s1)c1ccncn1,354.5,1.656460938,NaN,NaN,415,NaN,MeCN
COC1OC(=O)C(=C1Nc1ccc(cc1)Cl)Br,238.6,0.272112465,NaN,NaN,293,NaN,NaN
O=Cc1ccc(cc1)C=C(c1ccccc1)c1ccccc1,308.4,0.001297374,NaN,NaN,333,NaN,NaN
Nc1sc(c(n1)c1ccc(cc1)NC(=O)c1ccccc1)N=Nc1ccccc1Cl,466.3,0.018237748,NaN,NaN,492,NaN,DMSO
[O-][N+](=O)c1ccc(cc1)N=NC(=NNc1ccccc1)c1ccc(cc1)[N+](=O)[O-],510.2,0.000723343,NaN,NaN,384,NaN,NaN
C=CCNc1ccc2c(c1)c1nc3ccc(=O)cc3oc1cc2,405.4,0.679225191,NaN,NaN,539,22900,Cl
c1ccc2c(c1)c1cccc3c1c1c2cccc1cc3,320.1,0.120325473,NaN,NaN,340,NaN,NaN
CNC(=O)c1cc(=O)c2c(o1)cccc2OC,313.7,0.001967171,NaN,NaN,323,NaN,NaN
CCN(c1sc(c(n1)c1ccccc1)N=Nc1nc2c(s1)cccc2)CC,474.3,0.014310222,NaN,NaN,532,43900,NaN
O=C(O[C@H]1C[C@@H]1O)CC1CC=C1C=Cc1ccccc1,278.7,1.039290338,NaN,NaN,NaN,NaN,NaN
Cc1c(sc2c1c(C)c(s2)c1nnc(o1)c1cccc2c1cccc2)c1nnc(o1)c1cccc2c1cccc2,326.3,1.904738928,NaN,NaN,361,NaN,Ethanol
CCC1(CC)c2cc(ccc2c2c1cccc2)c1cc(F)c(cc1c1ccc2c(c1)C(CC)(CC)c1c2cccc1)F,276.8,0.289153792,NaN,NaN,314,NaN,NaN
COS(=O)(=O)c1ccc(cc1)C=Cc1ccc(cc1)c1ccccc1OC,308.9,1.564578843,NaN,NaN,340,NaN,NaN
O=C1C(CSCSCC2NC(=O)N(C2=O)c2ccccc2)NC(=O)N1c1ccccc1,234.7,0.021722196,NaN,NaN,NaN,NaN,NaN
O=C1OC2(c3c1cccc3)c1ccc(c(c1Oc1c2ccc(c1Br)O)Br)O,251.2,0.002778961,NaN,NaN,506,NaN,water
Cc1ccc(s1)c1c2sccc2c(c2c1ccs2)c1ccc(s1)C,326,0.535984658,NaN,NaN,354,NaN,chloroform
N#Cc1c(N)nc(c(c1c1cccc2c1cccc2)C#N)N,287.8,0.126148548,NaN,NaN,337,NaN,THF
Nc1ccc2c(c1)nc1c(c2Nc2ccc(cc2)N(C)C)ccc(c1)N,365.6,0.241132909,NaN,NaN,400,NaN,NaN
CC(OC(=O)C(Oc1ccc(cc1)C(=O)c1ccc(cc1)Cl)(C)C)C,301.9,0.003615156,NaN,NaN,NaN,NaN,NaN
Nc1ccc(cn1)N,291.7,0.087638889,NaN,NaN,370,NaN,NaN
CN(CCNC(=S)Nc1ccc2c(c1)nc1c(c2Nc2ccc(cc2)N(C)C)ccc(c1)NC(=S)NCCN(C)C)C,369.2,0.337710159,NaN,NaN,373,NaN,NaN
O=c1[nH]c2c(cc1S(=O)(=O)c1ccccc1)CCc1c2n(cc1)S(=O)(=O)c1ccccc1,347.6,0.538093021,NaN,NaN,375,42432,NaN
OC[C@H](C=Cc1cnc2c(n1)cccc2)O,327.9,0.008668198,NaN,NaN,256,NaN,NaN
[O-][N+](=O)c1ccc(cc1)N=Nc1ccc(cc1)N(c1ccc2c(c1)C(C)(C)c1c2cccc1)c1ccc2c(c1)C(C)(C)c1c2cccc1,447,5.03E-05,NaN,NaN,522,NaN,Toluene
CN1CC=C(C=C1)C=Cc1c(C)[nH]c2c1c1ccccc1cc2,321.4,0.08252882,NaN,NaN,463.6,NaN,NaN
OCCN(Cc1cnc(nc1N)C)C=O,256.1,0.009588028,NaN,NaN,NaN,NaN,NaN
O=c1ccc2c(c1)n(nc(n2)c1ccccc1)c1ccccc1,473,0.146830087,NaN,NaN,544,NaN,NaN
N#CC(=Cc1ccc2c(c1)cccc2)c1ccc(cc1)N(c1cccc(c1)C)c1ccccc1,331.1,0.257765832,NaN,NaN,413,NaN,THF
O=P(c1cc2c(s1)ccc(c2)n1c2ccccc2c2c1cccc2)(c1ccccc1)c1ccccc1,288.4,0.071234899,NaN,NaN,292,NaN,NaN
OCC(C(C(Cn1c2cc(C)c(cc2nc2c1nc(=O)[nH]c2=O)C)O)O)O,354.2,0.347633364,NaN,NaN,444,NaN,NaN
Brc1ccc(cc1)C=CC(=O)c1nnn(c1C)c1ccnc2c1ccc(c2)Cl,319.5,0.003017841,NaN,NaN,235,NaN,methanol
c1ncc(cn1)c1cccc(c1)c1nc(nnc1c1cccc(c1)c1cncnc1)c1cccc(c1)c1cncnc1,402.4,0.014864527,NaN,NaN,296,NaN,NaN
Fc1ccccc1Nc1nc2c(n1CC1CCCO1)cc1c(c2)c(C)c(c(=O)o1)C(=O)N,312.3,0.571339239,NaN,NaN,362,NaN,ethanol
Nc1ccc2c(c1)nccn2,327.3,0.00850498,NaN,NaN,514,NaN,NaN
Cn1cc(c2c1cccc2)C=C(c1ccc(s1)C=C1SC(=S)N(C1=O)CC(=O)O)C#N,394.2,2.082444026,NaN,NaN,511,56000,chloroform
O=C(c1ccccc1)CC(=O)c1ccncc1,309,0.003787047,NaN,NaN,347,19054.60718,NaN
CCCOC(=O)c1ccncc1,273,0.007116392,NaN,NaN,345,NaN,acetonitrile
N#Cc1c(C#N)nc(n1C)c1ccc(cc1)c1ccc(cc1)N(C)C,290.1,1.244114732,NaN,NaN,346,NaN,NaN
COC(=O)Nc1nc2c([nH]1)cccc2,249.4,0.20989851,NaN,NaN,NaN,NaN,NaN
CCN(Cc1ccc2c(c1O)nccc2)CC,314,0.047790328,NaN,NaN,506,NaN,MeOH
c1ccc2c(c1)c1[nH]c2N=c2[nH]c(=Nc3[nH]c(N=c4[nH]c(=N1)c1ccccc41)c1c3cccc1)c1c2cccc1,471.1,0.000699118,NaN,NaN,684,10232.92992,Water
Brc1ccc2c(c1)CCc1c2c(nc2c1c1ccc(cc1CC2)Br)c1ccc(cc1)O,297.2,0.456084617,NaN,NaN,367,100000,chloroform
CC(CCC1(CCC(C)C)c2cc(ccc2c2c1cccc2)c1ccc2c3c1ccc1c3c(cc2)ccc1)C,340.4,0.584993736,NaN,NaN,400,44550,dichloromethane
COc1cccc(c1O)c1nc2n(c1Cc1ccccc1)cccc2C,286.5,0.247893203,NaN,NaN,NaN,NaN,NaN
